<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20220527,225500,33131.46,33206.20,33129.30,33204.30,1290
20220527,230000,33203.25,33215.63,33185.75,33211.00,741
20220527,230500,33211.57,33232.16,33197.80,33226.50,395
20220527,231000,33225.87,33239.33,33217.40,33224.25,450
20220527,231500,33223.66,33251.50,33223.20,33231.50,194
20220527,232000,33232.63,33237.63,33224.63,33233.00,115
20220527,232500,33232.63,33257.00,33231.00,33253.50,172
20220527,233000,33253.33,33265.00,33249.63,33262.00,211
20220527,233500,33262.63,33275.66,33260.63,33268.25,121
20220527,234000,33266.63,33266.66,33253.63,33259.63,145
20220530,010000,33241.30,33261.81,33208.30,33211.30,216
20220530,010500,33211.30,33234.30,33208.30,33234.30,99
20220530,011000,33234.17,33234.17,33212.30,33218.30,130
20220530,011500,33220.30,33243.67,33209.30,33236.17,137
20220530,012000,33235.92,33242.30,33216.17,33230.30,167
20220530,012500,33231.17,33235.17,33217.17,33224.27,106
20220530,013000,33224.30,33237.92,33221.30,33228.00,114
20220530,013500,33228.17,33236.67,33224.67,33231.30,91
20220530,014000,33231.17,33249.17,33231.17,33249.00,147
20220530,014500,33248.00,33251.92,33238.00,33243.27,137
20220530,015000,33242.92,33247.90,33238.58,33239.17,71
20220530,015500,33239.33,33243.00,33229.67,33242.67,103
20220530,020000,33243.33,33247.39,33238.17,33246.17,75
20220530,020500,33246.27,33254.30,33246.17,33249.17,82
20220530,021000,33249.30,33267.17,33249.00,33260.00,193
20220530,021500,33259.92,33264.38,33251.17,33251.42,170
20220530,022000,33251.67,33260.87,33248.92,33253.87,136
20220530,022500,33254.17,33262.92,33249.67,33256.30,120
20220530,023000,33254.30,33275.07,33254.30,33272.07,201
20220530,023500,33272.17,33280.95,33268.30,33277.87,173
20220530,024000,33278.17,33292.37,33277.27,33288.87,175
20220530,024500,33289.17,33290.83,33270.30,33270.67,185
20220530,025000,33270.92,33273.92,33264.17,33268.67,187
20220530,025500,33268.00,33272.00,33249.27,33252.17,146
20220530,030000,33252.30,33255.04,33224.70,33226.24,343
20220530,030500,33229.30,33239.70,33211.04,33215.04,316
20220530,031000,33214.54,33237.61,33210.04,33237.54,330
20220530,031500,33236.91,33241.24,33213.30,33223.04,268
20220530,032000,33223.44,33244.54,33222.44,33241.79,220
20220530,032500,33242.54,33253.04,33237.79,33245.64,190
20220530,033000,33245.37,33249.64,33221.04,33221.04,203
20220530,033500,33223.04,33238.04,33213.54,33222.70,200
20220530,034000,33223.30,33242.54,33222.54,33239.79,187
20220530,034500,33240.29,33262.66,33238.04,33250.29,228
20220530,035000,33249.84,33261.30,33245.04,33260.64,174
20220530,035500,33261.30,33261.44,33244.54,33252.66,169
20220530,040000,33251.79,33261.54,33242.64,33258.79,193
20220530,040500,33259.44,33259.44,33227.04,33248.04,240
20220530,041000,33247.54,33260.61,33241.04,33255.29,253
20220530,041500,33255.04,33259.04,33250.79,33257.54,248
20220530,042000,33257.04,33262.54,33250.54,33259.04,240
20220530,042500,33258.29,33259.29,33252.37,33257.04,149
20220530,043000,33259.44,33265.64,33251.30,33257.30,275
20220530,043500,33257.04,33268.30,33256.04,33268.30,250
20220530,044000,33268.37,33283.54,33268.37,33281.64,215
20220530,044500,33278.04,33281.04,33263.30,33264.79,244
20220530,045000,33265.04,33270.30,33262.79,33265.75,213
20220530,045500,33265.54,33266.44,33251.54,33261.04,219
20220530,050000,33261.44,33263.54,33252.24,33253.70,214
20220530,050500,33254.04,33262.04,33251.54,33258.64,183
20220530,051000,33259.04,33264.30,33256.04,33263.54,170
20220530,051500,33265.54,33292.30,33265.30,33289.04,315
20220530,052000,33289.44,33305.61,33288.54,33294.94,306
20220530,052500,33293.70,33300.70,33283.16,33285.61,258
20220530,053000,33286.30,33288.04,33281.54,33282.04,168
20220530,053500,33281.70,33294.84,33281.70,33291.54,170
20220530,054000,33292.04,33297.11,33284.04,33297.11,168
20220530,054500,33297.13,33300.44,33280.37,33281.44,219
20220530,055000,33281.04,33291.54,33277.29,33282.30,197
20220530,055500,33282.04,33282.54,33273.64,33279.54,210
20220530,060000,33279.04,33290.70,33275.37,33290.70,140
20220530,060500,33290.30,33290.44,33275.37,33278.04,128
20220530,061000,33278.29,33278.29,33265.04,33272.54,189
20220530,061500,33273.37,33278.44,33267.94,33269.54,132
20220530,062000,33269.24,33277.44,33268.24,33273.79,170
20220530,062500,33274.54,33276.30,33266.70,33268.91,140
20220530,063000,33268.70,33272.54,33260.04,33260.70,116
20220530,063500,33261.54,33265.44,33257.44,33263.54,137
20220530,064000,33263.32,33265.54,33258.37,33263.54,92
20220530,064500,33262.54,33264.04,33249.70,33252.84,121
20220530,065000,33252.54,33266.30,33252.54,33263.70,145
20220530,065500,33263.54,33266.29,33252.64,33256.70,122
20220530,070000,33256.37,33256.37,33245.54,33246.70,98
20220530,070500,33246.44,33252.04,33245.54,33250.04,89
20220530,071000,33250.29,33252.04,33244.37,33246.75,93
20220530,071500,33246.54,33253.54,33246.54,33249.84,108
20220530,072000,33249.75,33252.37,33244.84,33247.08,62
20220530,072500,33247.07,33257.29,33246.54,33253.70,122
20220530,073000,33254.37,33268.79,33254.04,33265.54,133
20220530,073500,33265.44,33268.61,33260.87,33261.70,119
20220530,074000,33260.70,33260.70,33251.04,33254.64,88
20220530,074500,33254.29,33258.29,33252.64,33257.26,125
20220530,075000,33257.04,33261.30,33253.54,33253.54,85
20220530,075500,33254.75,33272.04,33254.75,33270.84,124
20220530,080000,33272.04,33272.44,33257.79,33268.54,195
20220530,080500,33269.75,33278.54,33255.04,33263.37,237
20220530,081000,33263.24,33278.04,33261.30,33275.04,171
20220530,081500,33276.54,33280.70,33265.37,33269.66,191
20220530,082000,33270.30,33277.64,33266.54,33268.84,295
20220530,082500,33269.54,33273.30,33259.04,33271.04,182
20220530,083000,33272.54,33280.54,33265.30,33276.54,164
20220530,083500,33277.04,33291.70,33276.64,33290.75,175
20220530,084000,33291.30,33302.54,33289.04,33301.44,112
20220530,084500,33301.54,33333.04,33301.54,33332.64,295
20220530,085000,33331.04,33342.74,33315.64,33321.37,291
20220530,085500,33322.04,33336.04,33320.32,33336.04,215
20220530,090000,33336.67,33339.00,33322.00,33331.67,299
20220530,090500,33331.30,33347.24,33319.42,33346.87,260
20220530,091000,33347.67,33373.27,33342.09,33372.57,282
20220530,091500,33372.95,33384.17,33363.38,33383.27,276
20220530,092000,33383.09,33397.33,33377.27,33395.67,259
20220530,092500,33396.30,33398.17,33382.27,33383.67,248
20220530,093000,33383.42,33399.38,33379.17,33399.38,192
20220530,093500,33399.17,33400.92,33394.17,33397.17,155
20220530,094000,33397.67,33399.00,33386.27,33386.67,154
20220530,094500,33386.17,33389.92,33383.17,33384.00,151
20220530,095000,33382.42,33388.47,33379.42,33387.33,157
20220530,095500,33387.27,33395.92,33377.52,33380.30,191
20220530,100000,33379.00,33408.27,33376.92,33387.67,554
20220530,100500,33388.17,33396.92,33367.79,33382.87,496
20220530,101000,33383.00,33396.67,33369.30,33386.67,410
20220530,101500,33387.17,33410.30,33369.30,33388.27,423
20220530,102000,33388.30,33392.42,33371.17,33375.30,351
20220530,102500,33376.27,33385.81,33369.30,33374.17,333
20220530,103000,33374.30,33398.83,33374.30,33397.95,283
20220530,103500,33397.81,33414.17,33393.30,33410.47,278
20220530,104000,33409.67,33423.92,33404.17,33421.03,257
20220530,104500,33420.12,33427.33,33416.30,33422.17,247
20220530,105000,33419.27,33442.17,33415.33,33436.27,299
20220530,105500,33436.00,33439.00,33421.17,33422.67,239
20220530,110000,33423.17,33438.92,33418.42,33437.24,259
20220530,110500,33436.38,33442.07,33432.47,33434.00,218
20220530,111000,33434.83,33434.83,33420.17,33428.07,250
20220530,111500,33427.67,33436.67,33425.17,33434.07,212
20220530,112000,33435.67,33462.27,33435.42,33453.67,257
20220530,112500,33454.29,33465.17,33453.67,33462.67,194
20220530,113000,33462.33,33465.24,33449.27,33455.42,199
20220530,113500,33456.17,33459.67,33440.30,33444.67,208
20220530,114000,33444.92,33450.33,33432.30,33438.00,179
20220530,114500,33437.17,33439.00,33426.30,33429.92,171
20220530,115000,33429.38,33429.38,33416.57,33419.17,183
20220530,115500,33419.30,33420.17,33415.00,33415.17,161
20220530,120000,33415.38,33418.22,33401.87,33404.17,199
20220530,120500,33404.29,33415.17,33401.42,33401.92,200
20220530,121000,33401.42,33407.77,33397.00,33407.07,180
20220530,121500,33408.07,33418.33,33406.42,33418.17,217
20220530,122000,33418.67,33421.00,33408.17,33420.07,152
20220530,122500,33419.17,33460.81,33419.17,33460.33,286
20220530,123000,33459.33,33461.44,33442.67,33448.07,265
20220530,123500,33448.17,33452.52,33446.30,33450.52,191
20220530,124000,33451.00,33454.17,33447.67,33454.00,175
20220530,124500,33454.17,33467.77,33454.17,33462.27,214
20220530,125000,33463.17,33472.17,33459.07,33471.47,172
20220530,125500,33471.17,33471.67,33457.30,33459.79,139
20220530,130000,33459.30,33463.00,33458.30,33459.47,125
20220530,130500,33459.17,33461.42,33444.67,33446.42,111
20220530,131000,33446.67,33447.07,33429.67,33438.67,227
20220530,131500,33439.17,33439.67,33419.27,33422.33,152
20220530,132000,33421.42,33422.00,33401.09,33401.67,224
20220530,132500,33402.00,33402.00,33377.67,33402.00,425
20220530,133000,33401.17,33404.33,33368.00,33371.92,297
