<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<Open>,<High>,<Low>,<Close>,<Vol>,<Openint>
BCHUSDT,d,20201209,000000,267.8000,271.1900,255.0000,268.7000,157133.45628,268.700,5718
BCHUSDT,d,20201210,000000,268.6000,269.3300,261.3300,265.7500,85390.42785,265.7500,5718
BCHUSDT,d,20201211,000000,265.7700,266.9300,256.0000,259.2400,137006.88403,259.240,5718
BCHUSDT,d,20201212,000000,259.3000,269.7300,257.9600,267.8900,104091.46321,267.8900,5718
BCHUSDT,d,20201213,000000,267.7400,282.6000,265.7000,276.0200,113669.80321,276.020,5718
BCHUSDT,d,20201214,000000,275.9600,280.3700,265.0300,276.9400,102754.79724,276.940,5718
BCHUSDT,d,20201215,000000,277.0000,299.0000,270.3000,288.8500,268961.55713,288.8500,5718
BCHUSDT,d,20201216,000000,288.8600,314.4000,281.6900,312.0700,327142.83361,312.0700,5718
BCHUSDT,d,20201217,000000,312.0000,331.3400,300.9000,310.7300,481220.58439,310.7300,5718
BCHUSDT,d,20201218,000000,310.5800,323.1100,305.0000,313.3300,260821.41237,313.3300,5718
BCHUSDT,d,20201219,000000,313.3300,325.5000,309.2000,318.1300,280722.81544,318.1300,5718
BCHUSDT,d,20201220,000000,317.9700,368.5200,310.0500,349.2100,659808.11287,349.2100,5718
BCHUSDT,d,20201221,000000,348.9800,380.4700,307.0000,313.4100,814909.10335,313.4100,5718
BCHUSDT,d,20201222,000000,313.4700,324.8600,298.0000,322.6900,471124.45166,322.6900,5718
BCHUSDT,d,20201223,000000,322.7300,326.4300,266.1600,275.4800,535898.96368,275.4800,5718
BCHUSDT,d,20201224,000000,275.4800,299.6300,270.5600,296.9900,352851.38968,296.9900,5718
BCHUSDT,d,20201225,000000,296.9000,325.3300,293.1000,319.1400,364106.38124,319.1400,5718
BCHUSDT,d,20201226,000000,319.2900,330.3900,310.0000,323.6000,405661.17252,323.6000,5718
BCHUSDT,d,20201227,000000,323.7100,366.8700,307.0100,338.1000,649963.43392,338.1000,5718
BCHUSDT,d,20201228,000000,337.9200,377.0000,334.0000,360.7700,460802.95879,360.7700,5718
BCHUSDT,d,20201229,000000,360.7700,366.9700,330.0100,352.9200,361927.91113,352.9200,5718
BCHUSDT,d,20201230,000000,352.8800,366.8800,341.3300,358.6900,293073.51627,358.6900,5718
BCHUSDT,d,20201231,000000,358.8700,361.5200,334.3300,342.1500,223697.38539,342.1500,5718
BCHUSDT,d,20210101,000000,342.0500,355.4000,331.1600,341.8300,195655.5926,341.8300,5718
BCHUSDT,d,20210102,000000,341.7400,368.0000,333.0500,354.5500,342010.72594,354.5500,5718
BCHUSDT,d,20210103,000000,354.3500,433.8300,354.2200,423.6100,739824.85153,423.6100,5718
BCHUSDT,d,20210104,000000,423.7200,464.3300,380.4200,405.4900,711761.91463,405.490,5718
BCHUSDT,d,20210105,000000,405.6100,425.4400,389.4600,418.0900,351147.81644,418.0900,5718
BCHUSDT,d,20210106,000000,418.4900,458.0000,410.6300,453.4400,368396.77696,453.440,5718
BCHUSDT,d,20210107,000000,453.7200,484.0000,426.8200,448.0000,471462.86752,448.000,5718
BCHUSDT,d,20210108,000000,448.0100,454.4100,401.9500,436.9800,449738.24625,436.9800,5718
BCHUSDT,d,20210109,000000,437.1400,588.6700,417.5200,574.8800,825506.02865,574.8800,5718
BCHUSDT,d,20210110,000000,574.9700,629.7900,548.4000,599.9800,1365089.90235,599.980,5718
BCHUSDT,d,20210111,000000,599.9400,602.9200,400.0000,476.7800,1332756.46176,476.7800,5718
BCHUSDT,d,20210112,000000,476.8700,510.0000,443.0100,451.8800,628843.8071,451.880,5718
BCHUSDT,d,20210113,000000,451.8100,500.8800,435.1000,496.0600,469471.02204,496.0600,5718
BCHUSDT,d,20210114,000000,496.1100,538.8800,483.5000,527.0000,476933.70923,527.000,5718
BCHUSDT,d,20210115,000000,527.1500,536.3900,452.6100,490.7000,488575.14311,490.700,5718
BCHUSDT,d,20210116,000000,490.7000,515.5500,473.4100,489.7400,405440.8685,489.7400,5718
BCHUSDT,d,20210117,000000,489.7800,495.8400,461.4500,479.3700,256429.15291,479.3700,5718
BCHUSDT,d,20210118,000000,479.3200,514.5400,469.2800,508.9500,310010.56706,508.9500,5718
BCHUSDT,d,20210119,000000,508.8300,553.7300,502.7600,507.0400,484274.08508,507.0400,5718
BCHUSDT,d,20210120,000000,507.1400,518.6200,470.0100,496.9500,372676.36061,496.9500,5718
BCHUSDT,d,20210121,000000,496.9600,499.4000,405.4800,418.6800,392151.8381,418.6800,5718
BCHUSDT,d,20210122,000000,418.4100,450.4600,391.7700,439.7900,358565.41933,439.7900,5718
BCHUSDT,d,20210123,000000,439.7900,444.0000,416.0500,431.3600,167946.08758,431.3600,5718
BCHUSDT,d,20210124,000000,431.3400,448.8400,421.4000,439.5200,142813.31791,439.5200,5718
BCHUSDT,d,20210125,000000,439.6700,465.2000,430.4300,432.2800,215535.24162,432.2800,5718
BCHUSDT,d,20210126,000000,432.2000,438.6900,413.0200,427.4600,178944.06097,427.4600,5718
