<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20190402,000000,1.12123,1.12159,1.11837,1.12042,86990
20190403,000000,1.12039,1.12547,1.12003,1.12319,84177
20190404,000000,1.12316,1.12476,1.12060,1.12195,76956
20190405,000000,1.12189,1.12465,1.12101,1.12166,70509
20190408,000000,1.12141,1.12744,1.12110,1.12622,64614
20190409,000000,1.12623,1.12843,1.12552,1.12613,71446
20190410,000000,1.12615,1.12876,1.12295,1.12735,77841
20190411,000000,1.12729,1.12875,1.12499,1.12524,67726
20190412,000000,1.12519,1.13238,1.12509,1.12981,71970
20190415,000000,1.13027,1.13210,1.12976,1.13034,64667
20190416,000000,1.13035,1.13139,1.12795,1.12805,85139
20190417,000000,1.12802,1.13237,1.12787,1.12934,74049
20190418,000000,1.12929,1.13041,1.12261,1.12285,90738
20190419,000000,1.12290,1.12476,1.12272,1.12399,39226
20190422,000000,1.12452,1.12620,1.12358,1.12570,32738
20190423,000000,1.12569,1.12612,1.11923,1.12269,66631
20190424,000000,1.12269,1.12269,1.11405,1.11531,84476
20190425,000000,1.11515,1.11624,1.11181,1.11309,78153
20190426,000000,1.11309,1.11740,1.11097,1.11473,81963
20190429,000000,1.11450,1.11869,1.11449,1.11853,49695
20190430,000000,1.11853,1.12291,1.11758,1.12151,72199
20190501,000000,1.12141,1.12647,1.11872,1.11934,68751
20190502,000000,1.11934,1.12191,1.11698,1.11703,73853
20190503,000000,1.11702,1.12047,1.11350,1.12015,79638
20190506,000000,1.11779,1.12093,1.11700,1.11993,67913
20190507,000000,1.11989,1.12178,1.11667,1.11905,75781
20190508,000000,1.11899,1.12137,1.11828,1.11916,88474
20190509,000000,1.11906,1.12510,1.11735,1.12140,98091
20190510,000000,1.12140,1.12534,1.12135,1.12341,87555
20190513,000000,1.12328,1.12634,1.12214,1.12219,68838
20190514,000000,1.12211,1.12439,1.12012,1.12033,62275
20190515,000000,1.12025,1.12247,1.11779,1.12003,72670
20190516,000000,1.12016,1.12239,1.11662,1.11729,59920
20190517,000000,1.11735,1.11842,1.11552,1.11583,70297
20190520,000000,1.11597,1.11748,1.11507,1.11659,53668
20190521,000000,1.11659,1.11877,1.11420,1.11588,59901
20190522,000000,1.11586,1.11802,1.11487,1.11503,45984
20190523,000000,1.11494,1.11876,1.11070,1.11817,53366
20190524,000000,1.11822,1.12121,1.11754,1.12050,39101
20190527,000000,1.12089,1.12148,1.11873,1.11920,2702
20190528,000000,1.11920,1.11984,1.11593,1.11604,4611
20190529,000000,1.11603,1.11723,1.11246,1.11310,4558
20190530,000000,1.11306,1.11433,1.11164,1.11292,4048
20190531,000000,1.11290,1.11798,1.11253,1.11682,6387
20190603,000000,1.11660,1.12619,1.11605,1.12404,6541
20190604,000000,1.12410,1.12774,1.12270,1.12516,6027
20190605,000000,1.12511,1.13054,1.12203,1.12210,10521
20190606,000000,1.12208,1.13089,1.12004,1.12757,11441
20190607,000000,1.12759,1.13477,1.12514,1.13311,9346
20190610,000000,1.13216,1.13310,1.12909,1.13115,4310
20190611,000000,1.13114,1.13375,1.13014,1.13261,4839
20190612,000000,1.13259,1.13435,1.12832,1.12873,4666
20190613,000000,1.12870,1.13036,1.12686,1.12766,4896
20190614,000000,1.12764,1.12890,1.12026,1.12106,6844
20190617,000000,1.12091,1.12469,1.12039,1.12180,3899
20190618,000000,1.12182,1.12426,1.11815,1.11933,18108
20190619,000000,1.11923,1.12543,1.11873,1.12263,19972
20190620,000000,1.12261,1.13171,1.12259,1.12918,14424
20190621,000000,1.12925,1.13778,1.12832,1.13684,19130
20190624,000000,1.13701,1.14038,1.13660,1.13985,10440
20190625,000000,1.13984,1.14120,1.13442,1.13662,17894
20190626,000000,1.13663,1.13913,1.13476,1.13687,13479
20190627,000000,1.13682,1.13815,1.13480,1.13688,13878
20190628,000000,1.13691,1.13933,1.13507,1.13696,10875
20190701,000000,1.13581,1.13711,1.12811,1.12851,14649
20190702,000000,1.12851,1.13208,1.12754,1.12847,11759
20190703,000000,1.12846,1.13116,1.12686,1.12776,10147
20190704,000000,1.12777,1.12951,1.12737,1.12840,7723
20190705,000000,1.12838,1.12878,1.12074,1.12258,14917
20190708,000000,1.12245,1.12344,1.12073,1.12141,8311
20190709,000000,1.12143,1.12185,1.11937,1.12078,7495
20190710,000000,1.12079,1.12642,1.12022,1.12508,13759
20190711,000000,1.12507,1.12856,1.12457,1.12538,13710
20190712,000000,1.12541,1.12748,1.12388,1.12698,10610
20190715,000000,1.12692,1.12839,1.12540,1.12578,7070
20190716,000000,1.12576,1.12635,1.12020,1.12100,8968
20190717,000000,1.12097,1.12328,1.12000,1.12243,6242
20190718,000000,1.12237,1.12802,1.12053,1.12768,10681
20190719,000000,1.12767,1.12819,1.12035,1.12197,12141
20190722,000000,1.12132,1.12253,1.12062,1.12089,7055
20190723,000000,1.12086,1.12097,1.11460,1.11517,7148
20190724,000000,1.11520,1.11558,1.11271,1.11401,10219
20190725,000000,1.11404,1.11876,1.11015,1.11467,21930
20190726,000000,1.11469,1.11509,1.11121,1.11266,10451
20190729,000000,1.11241,1.11507,1.11130,1.11447,5080
20190730,000000,1.11450,1.11602,1.11324,1.11547,9060
20190731,000000,1.11546,1.11619,1.10602,1.10749,33949
20190801,000000,1.10759,1.10954,1.10270,1.10845,30105
20190802,000000,1.10852,1.11165,1.10698,1.11047,30924
20190805,000000,1.11063,1.12131,1.11045,1.12027,25077
20190806,000000,1.12026,1.12496,1.11675,1.11979,26820
20190807,000000,1.11983,1.12418,1.11795,1.11985,27147
20190808,000000,1.11990,1.12328,1.11771,1.11802,24034
20190809,000000,1.11799,1.12229,1.11784,1.12006,19314
20190812,000000,1.11989,1.12307,1.11622,1.12135,15872
20190813,000000,1.12134,1.12282,1.11704,1.11709,24645
20190814,000000,1.11709,1.11908,1.11308,1.11383,18726
20190815,000000,1.11380,1.11582,1.10914,1.11067,25912
20190816,000000,1.11069,1.11121,1.10666,1.10891,20424
20190819,000000,1.10921,1.11135,1.10762,1.10780,13801
20190820,000000,1.10780,1.11067,1.10659,1.10993,14138
20190821,000000,1.10989,1.11069,1.10799,1.10842,13153
20190822,000000,1.10845,1.11131,1.10637,1.10792,15658
20190823,000000,1.10792,1.11531,1.10521,1.11447,37398
20190826,000000,1.11501,1.11638,1.10948,1.11000,60594
20190827,000000,1.10999,1.11152,1.10859,1.10901,15868
20190828,000000,1.10900,1.10979,1.10738,1.10773,18228
20190829,000000,1.10777,1.10916,1.10422,1.10567,23584
20190830,000000,1.10567,1.10605,1.09633,1.09936,25179
20190902,000000,1.09900,1.09966,1.09580,1.09671,19135
20190903,000000,1.09674,1.09785,1.09262,1.09726,23381
20190904,000000,1.09734,1.10385,1.09685,1.10353,20732
20190905,000000,1.10355,1.10843,1.10168,1.10344,24836
20190906,000000,1.10344,1.10571,1.10203,1.10250,30984
20190909,000000,1.10245,1.10677,1.10158,1.10472,18240
20190910,000000,1.10472,1.10592,1.10307,1.10430,18703
