<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<Open>,<High>,<Low>,<Close>,<Vol>,<Openint>
Bimeh,d,20201019,000000,64253.7000,64253.7000,63941.5000,63941.9000,7045606,63941.9000,5718
Bimeh,d,20201020,000000,63686.3000,63686.3000,62764.8000,62764.8000,9090939,62764.8000,5718
Bimeh,d,20201021,000000,62981.0000,62998.3000,62034.4000,62042.3000,32629241,62042.3000,5718
Bimeh,d,20201024,000000,61793.2000,61793.2000,61202.1000,61202.1000,28280395,61202.1000,5718
Bimeh,d,20201026,000000,60746.9000,60746.9000,60129.7000,60129.7000,14717150,60129.7000,5718
Bimeh,d,20201027,000000,59196.8000,59196.8000,58704.7000,58711.3000,13533745,58711.3000,5718
Bimeh,d,20201028,000000,58376.7000,58376.7000,56928.5000,56948.9000,36657279,56948.9000,5718
Bimeh,d,20201031,000000,57168.1000,58451.8000,57168.1000,58451.8000,25671480,58451.8000,5718
Bimeh,d,20201101,000000,58345.4000,58345.4000,57556.6000,57562.7000,11656421,57562.7000,5718
Bimeh,d,20201102,000000,57350.6000,57350.6000,56730.2000,56730.2000,11840887,56730.2000,5718
Bimeh,d,20201104,000000,56761.5000,57057.7000,56761.5000,57057.7000,16877761,57057.7000,5718
Bimeh,d,20201107,000000,56900.3000,56900.3000,56423.6000,56423.6000,11373489,56423.6000,5718
Bimeh,d,20201108,000000,56159.8000,56159.8000,55916.3000,55916.3000,8426749,55916.3000,5718
Bimeh,d,20201109,000000,55637.2000,55637.2000,55093.2000,55094.7000,13003341,55094.700,5718
Bimeh,d,20201110,000000,54963.3000,54963.3000,54351.7000,54378.4000,17947951,54378.4000,5718
Bimeh,d,20201111,000000,54289.8000,54289.8000,53360.0000,53640.5000,28683809,53640.500,5718
Bimeh,d,20201114,000000,53932.9000,55061.4000,53932.9000,55061.4000,22574192,55061.400,5718
Bimeh,d,20201115,000000,55248.6000,56275.4000,55248.6000,56148.8000,34870369,56148.8000,5718
Bimeh,d,20201116,000000,56359.3000,56857.8000,56359.3000,56855.3000,26584242,56855.3000,5718
Bimeh,d,20201117,000000,56982.6000,57767.4000,56982.6000,57767.4000,22035004,57767.400,5718
Bimeh,d,20201118,000000,57917.8000,59277.6000,57917.8000,59278.4300,24750795,59278.4300,5718
Bimeh,d,20201121,000000,59967.1000,60270.3300,59952.9800,60205.0900,37384846,60205.090,5718
Bimeh,d,20201122,000000,60827.4900,61081.8200,60764.4100,61078.0600,23565448,61078.0600,5718
Bimeh,d,20201123,000000,61292.6600,62951.8100,61292.6600,62957.9900,33080272,62957.990,5718
