<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<Open>,<High>,<Low>,<Close>,<Vol>,<Openint>
BTCUSDT,d,20211123,000000,56243.8300,58009.9900,55317.0000,57541.2700,49917.85017,57541.2700,5718
BTCUSDT,d,20211124,000000,57541.2600,57735.0000,55837.0000,57138.2900,39612.04964,57138.2900,5718
BTCUSDT,d,20211125,000000,57138.2900,59398.9000,57000.0000,58960.3600,42153.51522,58960.360,5718
BTCUSDT,d,20211126,000000,58960.3700,59150.0000,53500.0000,53726.5300,65927.87066,53726.5300,5718
BTCUSDT,d,20211127,000000,53723.7200,55280.0000,53610.0000,54721.0300,29716.99957,54721.030,5718
BTCUSDT,d,20211128,000000,54716.4700,57445.0500,53256.6400,57274.8800,36163.7137,57274.8800,5718
BTCUSDT,d,20211129,000000,57274.8900,58865.9700,56666.6700,57776.2500,40125.28009,57776.250,5718
BTCUSDT,d,20211130,000000,57776.2500,59176.9900,55875.5500,56950.5600,49161.05194,56950.560,5718
BTCUSDT,d,20211201,000000,56950.5600,59053.5500,56458.0100,57184.0700,44956.63656,57184.0700,5718
BTCUSDT,d,20211202,000000,57184.0700,57375.4700,55777.7700,56480.3400,37574.05976,56480.3400,5718
BTCUSDT,d,20211203,000000,56484.2600,57600.0000,51680.0000,53601.0500,58927.69027,53601.0500,5718
BTCUSDT,d,20211204,000000,53601.0500,53859.1000,42000.3000,49152.4700,114203.373748,49152.4700,5718
BTCUSDT,d,20211205,000000,49152.4600,49699.0500,47727.2100,49396.3300,45580.82012,49396.3300,5718
BTCUSDT,d,20211206,000000,49396.3200,50891.1100,47100.0000,50441.9200,58571.21575,50441.9200,5718
BTCUSDT,d,20211207,000000,50441.9100,51936.3300,50039.7400,50588.9500,38253.46877,50588.9500,5718
BTCUSDT,d,20211208,000000,50588.9500,51200.0000,48600.0000,50471.1900,38425.92466,50471.1900,5718
BTCUSDT,d,20211209,000000,50471.1900,50797.7600,47320.0000,47545.5900,37692.68665,47545.5900,5718
BTCUSDT,d,20211210,000000,47535.9000,50125.0000,46852.0000,47140.5400,44233.57391,47140.5400,5718
BTCUSDT,d,20211211,000000,47140.5400,49485.7100,46751.0000,49389.9900,28889.19358,49389.9900,5718
BTCUSDT,d,20211212,000000,49389.9900,50777.0000,48638.0000,50053.9000,26017.93421,50053.9000,5718
BTCUSDT,d,20211213,000000,50053.9000,50189.9700,45672.7500,46702.7500,50869.52093,46702.7500,5718
BTCUSDT,d,20211214,000000,46702.7600,48700.4100,46290.0000,48343.2800,39955.98445,48343.2800,5718
BTCUSDT,d,20211215,000000,48336.9500,49500.0000,46547.0000,48864.9800,51629.181,48864.9800,5718
BTCUSDT,d,20211216,000000,48864.9800,49436.4300,47511.0000,47632.3800,31949.86739,47632.3800,5718
